sentence,sentence_id,target_idx,instance_id,target,worker_id,general_comment,question_template_worker,question_worker,answer_worker,answer_range_worker,property_worker,comment_worker,expert_id,question_template_expert,question_expert,answer_expert,answer_range_expert,property_expert,comment_expert,mismatch_type
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,13,Wiki1k:wikinews:1823406:7:0_13,family,A3GWRDHAURRNK6,,Whose [W]?,Whose family?,one weeping woman,"(18, 20)",,,,,,,,,,answer
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,13,Wiki1k:wikinews:1823406:7:0_13,family,A3GWRDHAURRNK6,,What/Who is a part/member of [W]?,Who is a member of family?,one weeping woman,"(18, 20)",,,,,,,,,,answer
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,13,Wiki1k:wikinews:1823406:7:0_13,family,A3GWRDHAURRNK6,,What/Who is a part/member of [W]?,Who is a member of family?,members,"(15, 16)",,,,,,,,,,answer
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,14,Wiki1k:wikinews:1823406:7:0_14,members,A3GWRDHAURRNK6,,What/Who is a part/member of [W]?,Who is a member of members?,one weeping woman,"(18, 20)",,,,,,,,,,answer
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,19,Wiki1k:wikinews:1823406:7:0_19,woman,A3GWRDHAURRNK6,,What kind of [W]?,What kind of woman?,weeping,"(19, 20)",,,,,,,,,,answer
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,19,Wiki1k:wikinews:1823406:7:0_19,woman,A3GWRDHAURRNK6,,What is the [W] a part/member of?,What is the woman a member of?,family members,"(14, 15)",,,,,,,,,,answer
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,6,Wiki1k:wikinews:1823406:7:0_6,information,A3GWRDHAURRNK6,,When is the [W]?,When is the information?,soon,"(8, 9)",,,,,,,,,,answer
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,6,Wiki1k:wikinews:1823406:7:0_6,information,A3GWRDHAURRNK6,,Whose [W]?,Whose information?,one weeping woman,"(18, 20)",,,,,,,,,,answer
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,6,Wiki1k:wikinews:1823406:7:0_6,information,A3GWRDHAURRNK6,,Where is the [W]?,Where is the information?,Juanda,"(22, 23)",,,,,,,,,,answer
"Australia had a loss to Canada 50 -- 57 , but bounced back to win against the Netherlands , 58 -- 49 .",Wiki1k:wikinews:523166:1:2,3,Wiki1k:wikinews:523166:1:2_3,loss,A3GWRDHAURRNK6,,How much /How many [W]?,How much /How many loss?,a loss,"(3, 4)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,1,Wiki1k:wikinews:614764:0:1_1,relation,A3GWRDHAURRNK6,,What kind of [W]?,What kind of relation?,complaints about alleged events,"(4, 7)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,1,Wiki1k:wikinews:614764:0:1_1,relation,A3GWRDHAURRNK6,,What/Who is a part/member of [W]?,Who is a part of relation?,Hall,"(23, 24)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,1,Wiki1k:wikinews:614764:0:1_1,relation,A3GWRDHAURRNK6,,What is the [W] a part/member of?,What is the relation a  of?,complaints about alleged events,"(4, 7)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,13,Wiki1k:wikinews:614764:0:1_13,females,A3GWRDHAURRNK6,,When is the [W]?,When is the females?,between 1974 and 1984,"(8, 11)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,13,Wiki1k:wikinews:614764:0:1_13,females,A3GWRDHAURRNK6,,What is the [W] a part/member of?,What is the females a part of?,complaints,"(4, 5)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,18,Wiki1k:wikinews:614764:0:1_18,years,A3GWRDHAURRNK6,,Whose [W]?,Whose years?,three females,"(13, 14)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,20,Wiki1k:wikinews:614764:0:1_20,age,A3GWRDHAURRNK6,,How much /How many [W]?,How much /How many age?,between eight and seventeen years,"(15, 19)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,20,Wiki1k:wikinews:614764:0:1_20,age,A3GWRDHAURRNK6,,When is the [W]?,When is the age?,between 1974 and 1984,"(8, 11)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,27,Wiki1k:wikinews:614764:0:1_27,counts,A3GWRDHAURRNK6,,When is the [W]?,When is the counts?,Wednesday,"(35, 36)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,27,Wiki1k:wikinews:614764:0:1_27,counts,A3GWRDHAURRNK6,,What/Who is a part/member of [W]?,Who is a member of counts?,Hall,"(23, 24)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,27,Wiki1k:wikinews:614764:0:1_27,counts,A3GWRDHAURRNK6,,What/Who is a part/member of [W]?,Who is a member of counts?,three females,"(13, 14)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,29,Wiki1k:wikinews:614764:0:1_29,indecent,A3GWRDHAURRNK6,,How much /How many [W]?,How much /How many indecent?,three,"(27, 28)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,29,Wiki1k:wikinews:614764:0:1_29,indecent,A3GWRDHAURRNK6,,Whose [W]?,Whose indecent?,Hall,"(23, 24)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,29,Wiki1k:wikinews:614764:0:1_29,indecent,A3GWRDHAURRNK6,,When is the [W]?,When is the indecent?,between 1974 and 1984,"(8, 11)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,3,Wiki1k:wikinews:614764:0:1_3,complaints,A3GWRDHAURRNK6,,How much /How many [W]?,How much /How many complaints?,three,"(13, 14)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,30,Wiki1k:wikinews:614764:0:1_30,assault,A3GWRDHAURRNK6,,Whose [W]?,Whose assault?,Hall,"(23, 24)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,6,Wiki1k:wikinews:614764:0:1_6,events,A3GWRDHAURRNK6,,What/Who is a part/member of [W]?,Who is a part of events?,three females between eight and seventeen years of age,"(13, 21)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,6,Wiki1k:wikinews:614764:0:1_6,events,A3GWRDHAURRNK6,,What/Who is a part/member of [W]?,Who is a part of events?,Hall,"(23, 24)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,6,Wiki1k:wikinews:614764:0:1_6,events,A3GWRDHAURRNK6,,What kind of [W]?,What kind of events?,indecent assault,"(30, 31)",,,,,,,,,,answer
Jenny cognitively assesses the snake in her presence .,Wiki1k:wikipedia:10406:28:0,4,Wiki1k:wikipedia:10406:28:0_4,snake,A3GWRDHAURRNK6,,Where is the [W]?,Where is the snake?,in her presence,"(6, 8)",,,,,,,,,,answer
Jenny cognitively assesses the snake in her presence .,Wiki1k:wikipedia:10406:28:0,7,Wiki1k:wikipedia:10406:28:0_7,presence,A3GWRDHAURRNK6,,What/Who is a part/member of [W]?,What is a member of presence?,the snake,"(4, 5)",,,,,,,,,,answer
They do not prepare food and live only on what people offer them .,Wiki1k:wikipedia:16016:33:6,10,Wiki1k:wikipedia:16016:33:6_10,people,A3GWRDHAURRNK6,,What is the [PROPERTY] of (the) [W]?,What is the action of (the) people?,offer,"(12, 13)",action,,,,,,,,,answer
They do not prepare food and live only on what people offer them .,Wiki1k:wikipedia:16016:33:6,4,Wiki1k:wikipedia:16016:33:6_4,food,A3GWRDHAURRNK6,,Whose [W]?,Whose food?,They,"(1, 2)",,,,,,,,,,answer
They do not prepare food and live only on what people offer them .,Wiki1k:wikipedia:16016:33:6,4,Wiki1k:wikipedia:16016:33:6_4,food,A3GWRDHAURRNK6,,What kind of [W]?,What kind of food?,prepare,"(4, 5)",,,,,,,,,,answer
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",Wiki1k:wikipedia:19572217:14:6,28,Wiki1k:wikipedia:19572217:14:6_28,humans,A3GWRDHAURRNK6,,What/Who is a part/member of [W]?,What is a part of humans?,"H 1 , 2 and 3 , and N 1 and 2","(13, 24)",,,,,,,,,,answer
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",Wiki1k:wikipedia:19572217:14:6,7,Wiki1k:wikipedia:19572217:14:6_7,subtypes,A3GWRDHAURRNK6,,How much /How many [W]?,How much /How many subtypes?,16 H and 9 N,"(3, 7)",,,,,,,,,,answer
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",Wiki1k:wikipedia:19572217:14:6,7,Wiki1k:wikipedia:19572217:14:6_7,subtypes,A3GWRDHAURRNK6,,What kind of [W]?,What kind of subtypes?,known,"(9, 10)",,,,,,,,,,answer
The first Austrian film director to receive an Academy Award was Stefan Ruzowitzky .,Wiki1k:wikipedia:26964606:106:0,3,Wiki1k:wikipedia:26964606:106:0_3,film,A3GWRDHAURRNK6,,Whose [W]?,Whose film?,Stefan Ruzowitzky,"(12, 13)",,,,,,,,,,answer
The first Austrian film director to receive an Academy Award was Stefan Ruzowitzky .,Wiki1k:wikipedia:26964606:106:0,3,Wiki1k:wikipedia:26964606:106:0_3,film,A3GWRDHAURRNK6,,What kind of [W]?,What kind of film?,Austrian,"(3, 4)",,,,,,,,,,answer
The first Austrian film director to receive an Academy Award was Stefan Ruzowitzky .,Wiki1k:wikipedia:26964606:106:0,3,Wiki1k:wikipedia:26964606:106:0_3,film,A3GWRDHAURRNK6,,What/Who is a part/member of [W]?,What is a part of film?,director,"(5, 6)",,,,,,,,,,answer
The first Austrian film director to receive an Academy Award was Stefan Ruzowitzky .,Wiki1k:wikipedia:26964606:106:0,4,Wiki1k:wikipedia:26964606:106:0_4,director,A3GWRDHAURRNK6,,What is the [W] a part/member of?,What is the director a part of?,The first,"(1, 2)",,,,,,,,,,answer
The first Austrian film director to receive an Academy Award was Stefan Ruzowitzky .,Wiki1k:wikipedia:26964606:106:0,4,Wiki1k:wikipedia:26964606:106:0_4,director,A3GWRDHAURRNK6,,What is the [PROPERTY] of (the) [W]?,What is the accomplishment of (the) director?,receive an Academy Award,"(7, 10)",accomplishment,,,,,,,,,answer
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,10,Wiki1k:wikinews:1823406:7:0_10,whereabouts,A3GWRDHAURRNK6,,,,,,,,AZC7J87AH18DW,Whose [W]?,Whose whereabouts?,our family members,"(13, 16)",,,answer
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,13,Wiki1k:wikinews:1823406:7:0_13,family,A3GWRDHAURRNK6,,,,,,,,AZC7J87AH18DW,Whose [W]?,Whose family?,our,"(13, 14)",,,answer
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,13,Wiki1k:wikinews:1823406:7:0_13,family,A3GWRDHAURRNK6,,,,,,,,AZC7J87AH18DW,Whose [W]?,Whose family?,one weeping woman at Juanda,"(18, 23)",,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,1,Wiki1k:wikinews:614764:0:1_1,relation,A3GWRDHAURRNK6,,,,,,,,AZC7J87AH18DW,What/Who is a part/member of [W]?,What is a member of relation?,complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age,"(4, 22)",,"Hard to find appropriate question.
QANom is much better here",answer
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",Wiki1k:wikipedia:19572217:14:6,7,Wiki1k:wikipedia:19572217:14:6_7,subtypes,A3GWRDHAURRNK6,,,,,,,,AZC7J87AH18DW,How much /How many [W]?,How much /How many subtypes?,16,"(3, 4)",,,answer
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",Wiki1k:wikipedia:19572217:14:6,7,Wiki1k:wikipedia:19572217:14:6_7,subtypes,A3GWRDHAURRNK6,,,,,,,,AZC7J87AH18DW,What kind of [W]?,What kind of subtypes?,H,"(4, 5)",,,answer
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",Wiki1k:wikipedia:19572217:14:6,7,Wiki1k:wikipedia:19572217:14:6_7,subtypes,A3GWRDHAURRNK6,,,,,,,,AZC7J87AH18DW,How much /How many [W]?,How much /How many subtypes?,9,"(6, 7)",,,answer
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",Wiki1k:wikipedia:19572217:14:6,7,Wiki1k:wikipedia:19572217:14:6_7,subtypes,A3GWRDHAURRNK6,,,,,,,,AZC7J87AH18DW,What kind of [W]?,What kind of subtypes?,N,"(7, 8)",,,answer
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,14,Wiki1k:wikinews:1823406:7:0_14,members,A3GWRDHAURRNK6,,Whose [W]?,Whose members?,our,"(13, 14)",,,AZC7J87AH18DW,What is the [W] a part/member of?,What is the members a member of?,our family,"(13, 15)",,,question
